species_name,scientific_name,recording_count,augmentation_needed
,Hylarana picturata,308,False
bornean_black_magpie,Platysmurus aterrimus,90,False
white-crowned_shama,Copsychus stricklandii,78,False
identity_unknown,Mystery mystery,77,False
bold-striped_tit-babbler,Mixornis bornensis,68,False
blue-eared_barbet,Psilopogon duvaucelii,67,False
rufous-crowned_babbler,Malacopteron magnum,66,False
rufous-tailed_tailorbird,Orthotomus sericeus,65,False
sunda_bush_warbler,Horornis vulcanius,65,False
white-chested_babbler,Pellorneum rostratum,62,False
bornean_black-capped_babbler,Pellorneum capistratoides,61,False
black-crowned_pitta,Erythropitta ussheri,60,False
ashy_tailorbird,Orthotomus ruficeps,55,False
golden-naped_barbet,Psilopogon pulcherrimus,55,False
black-throated_wren-babbler,Turdinus atrigularis,55,False
grey-hooded_babbler,Cyanoderma bicolor,54,False
chestnut-hooded_laughingthrush,Pterorhinus treacheri,52,False
bornean_treepie,Dendrocitta cinerascens,50,False
little_spiderhunter,Arachnothera longirostra,48,True
blue-headed_pitta,Hydrornis baudii,48,True
black-and-yellow_broadbill,Eurylaimus ochromalus,47,True
mountain_leaf_warbler,Phylloscopus trivirgatus,47,True
mountain_wren-babbler,Gypsophila crassa,47,True
greater_racket-tailed_drongo,Dicrurus paradiseus,45,True
brown_fulvetta,Alcippe brunneicauda,45,True
golden-whiskered_barbet,Psilopogon chrysopogon,45,True
yellow-breasted_warbler,Phylloscopus montis,44,True
bornean_whistler,Pachycephala hypoxantha,44,True
spectacled_bulbul,Ixodia erythropthalmos,42,True
sooty-capped_babbler,Malacopteron affine,42,True
chestnut-rumped_babbler,Stachyris maculata,42,True
maroon_woodpecker,Blythipicus rubiginosus,40,True
bornean_green_magpie,Cissa jefferyi,40,True
oriental_magpie-robin,Copsychus saularis,39,True
orange-bellied_flowerpecker,Dicaeum trigonostigma,39,True
grey-cheeked_bulbul,Alophoixus tephrogenys,38,True
temmincks_babbler,Pellorneum pyrrogenys,38,True
rhinoceros_hornbill,Buceros rhinoceros,37,True
fluffy-backed_tit-babbler,Macronus ptilosus,37,True
chestnut-necklaced_partridge,Tropicoperdix charltonii,36,True
striped_wren-babbler,Kenopia striata,36,True
great_argus,Argusianus argus,35,True
bornean_banded_pitta,Hydrornis schwaneri,35,True
sunda_laughingthrush,Garrulax palliatus,35,True
helmeted_hornbill,Rhinoplax vigil,35,True
hooded_pitta,Pitta sordida,35,True
temmincks_sunbird,Aethopyga temminckii,35,True
crimson-headed_partridge,Haematortyx sanguiniceps,34,True
whiteheads_broadbill,Calyptomena whiteheadi,34,True
grey-chested_jungle_flycatcher,Cyornis umbratilis,33,True
red-naped_trogon,Harpactes kasumba,33,True
bornean_ground_cuckoo,Carpococcyx radiceus,33,True
rufous-tailed_shama,Copsychus pyrropygus,33,True
dark-throated_oriole,Oriolus xanthonotus,32,True
plaintive_cuckoo,Cacomantis merulinus,32,True
dark-necked_tailorbird,Orthotomus atrogularis,32,True
yellow-bellied_prinia,Prinia flaviventris,32,True
sunda_scimitar_babbler,Pomatorhinus bornensis,32,True
horsfields_babbler,Malacocincla sepiaria,31,True
diards_trogon,Harpactes diardii,31,True
ferruginous_babbler,Pellorneum bicolor,31,True
red-throated_barbet,Psilopogon mystacophanos,30,True
crested_jay,Platylophus galericulatus,30,True
slender-billed_crow,Corvus enca,29,True
bornean_stubtail,Urosphena whiteheadi,29,True
bornean_bristlehead,Pityriasis gymnocephala,28,True
black_hornbill,Anthracoceros malayanus,28,True
oriental_bay_owl,Phodilus badius,28,True
bornean_blue_flycatcher,Cyornis superbus,28,True
lesser_green_leafbird,Chloropsis cyanopogon,28,True
dark_hawk-cuckoo,Hierococcyx bocki,27,True
blyths_shrike-babbler,Pteruthius aeralatus,27,True
maroon-breasted_philentoma,Philentoma velata,27,True
rufous-winged_philentoma,Philentoma pyrhoptera,26,True
red-breasted_partridge,Arborophila hyperythra,25,True
puff-backed_bulbul,Euptilotus eutilotus,25,True
mountain_tailorbird,Phyllergates cucullatus,25,True
greater_green_leafbird,Chloropsis sonnerati,25,True
red-bearded_bee-eater,Nyctyornis amictus,25,True
olive-backed_sunbird,Cinnyris jugularis,24,True
blue-banded_pitta,Erythropitta arquata,24,True
rufous-chested_flycatcher,Ficedula dumetoria,24,True
moustached_babbler,Malacopteron magnirostre,23,True
bornean_wren-babbler,Ptilocichla leucogrammica,23,True
bornean_barbet,Psilopogon eximius,23,True
common_hill_myna,Gracula religiosa,23,True
friendly_bush_warbler,Locustella accentor,23,True
chestnut-crested_yuhina,Staphida everetti,22,True
bushy-crested_hornbill,Anorrhinus galeritus,22,True
yellow-bellied_bulbul,Alophoixus phaeocephalus,22,True
scarlet-rumped_trogon,Harpactes duvaucelii,22,True
short-tailed_babbler,Pellorneum malaccense,22,True
buff-necked_woodpecker,Meiglyptes tukki,22,True
van_hasselts_sunbird,Leptocoma brasiliana,22,True
malaysian_pied_fantail,Rhipidura javanica,22,True
mountain_barbet,Psilopogon monticola,21,True
brown_hawk-owl,Ninox scutulata,21,True
bare-headed_laughingthrush,Melanocichla calva,21,True
black-and-red_broadbill,Cymbirhynchus macrorhynchos,21,True
red-crowned_barbet,Psilopogon rafflesii,21,True
crested_serpent_eagle,Spilornis cheela,20,True
brown-throated_sunbird,Anthreptes malacensis,20,True
scaly-crowned_babbler,Malacopteron cinereum,20,True
white-browed_shortwing,Brachypteryx montana,20,True
mountain_blackeye,Zosterops emiliae,20,True
streaked_bulbul,Ixos malaccensis,20,True
