species_name,scientific_name,recording_count,augmentation_needed
bornean_black_magpie,Platysmurus aterrimus,90,False
white-crowned_shama,Copsychus stricklandii,78,False
bold-striped_tit-babbler,Mixornis bornensis,68,False
blue-eared_barbet,Psilopogon duvaucelii,67,False
black-crowned_pitta,Erythropitta ussheri,60,False
golden-naped_barbet,Psilopogon pulcherrimus,55,False
bornean_treepie,Dendrocitta cinerascens,50,False
blue-headed_pitta,Hydrornis baudii,48,True
greater_racket-tailed_drongo,Dicrurus paradiseus,45,True
rhinoceros_hornbill,Buceros rhinoceros,37,True
rufous-crowned_babbler,Malacopteron magnum,66,False
white-chested_babbler,Pellorneum rostratum,62,False
bornean_banded_pitta,Hydrornis schwaneri,35,True
bornean_ground_cuckoo,Carpococcyx radiceus,33,True
bornean_bristlehead,Pityriasis gymnocephala,28,True
